"Dia ","Chengyu 成语","Pinyin","Traduccion Literal","Significado Figurativo","Equivalente en Venezolano","Categoria","Nivel de Dificultad","Caracteristicas","Frase de Ejemplo"
"Dia 1","莫名其妙","mò míng qí miào","sin nombre su misterio","algo inexplicable sin razon aparente","¡Esto no tiene nombre!","Confusion y Misterio","HSK 6 (Oficial)","Concepto abstracto uso frecuente en conversacion diaria","他的行为莫名其妙，让大家都很困惑。"
"Dia 2","以身作则","yǐ shēn zuò zé","con cuerpo hacer modelo","predicar con el ejemplo","El ejemplo arrastra más que la palabra","Liderazgo y Ejemplo","HSK 7","Liderazgo moral principio educativo","作为老师，她总是以身作则，从不迟到。"
"Dia 3","一模一样","yī mó yī yàng","un molde un aspecto","exactamente igual","Clavado/Igualito a la mamá","Similitud y Comparacion","HSK 7","Estructura numerica comparacion perfecta","这两个双胞胎长得一模一样，很难分辨。"
"Dia 4","全心全意","quán xīn quán yì","todo corazon toda intencion","con total dedicacion","Ponerle el corazón a algo","Dedicacion y Compromiso","HSK 7","Concepto de entrega total","医生全心全意地为病人服务。"
"Dia 5","一针见血","yī zhēn jiàn xuè","una aguja ver sangre","ir directo al punto","Al grano que se nos hace tarde","Precision y Claridad","HSK 8","Metafora medica precision conceptual","他的批评一针见血，指出了问题的关键。"
"Dia 6","攀龙附凤","pān lóng fù fèng","trepar dragon adherir fenix","buscar conexiones poderosas","Arrimarse al palo porque da sombra","Oportunismo Social","HSK 9","Metafora mitologica critica social","他总是攀龙附凤，想要结交有权势的人。"
"Dia 7","挂羊头卖狗肉","guà yáng tóu mài gǒu ròu","colgar cabeza oveja vender carne perro","publicidad engañosa","Prometer cielo y tierra","Engaño y Falsedad","HSK 9","Metafora comercial concepto de fraude","这家店挂羊头卖狗肉，广告说得好听，实际服务很差。"
"Dia 8","虎头蛇尾","hǔ tóu shé wěi","cabeza tigre cola serpiente","empezar fuerte terminar debil","Empezar con tambores y terminar con maracas","Inconsistencia de Esfuerzo","HSK 8","Metafora animal contraste de fuerza","这个项目开始很有声势，但后来虎头蛇尾，草草收场。"
"Dia 9","一举两得","yī jǔ liǎng dé","una accion dos ganancias","lograr dos objetivos con una sola accion","Matar dos pájaros de un solo tiro","Eficiencia y Logro","HSK 6 (Oficial)","Estructura numerica equivalente directo en español","学习中文既能提高语言能力，又能了解文化，真是一举两得。"
"Dia 10","胡说八道","hú shuō bā dào","hablar disparates ocho direcciones","hablar sin sentido","Habla gamelote","Comunicacion Incoherente","HSK 8","Estructura numerica critica de discurso","别听他胡说八道，那些都不是真的。"
"Dia 11","按部就班","àn bù jiù bān","segun parte ir categoria","seguir procedimientos ordenadamente","Paso a paso se llega lejos","Orden y Metodologia","HSK 8","Concepto de sistematizacion","学习要按部就班，不能急于求成。"
"Dia 12","悬崖勒马","xuán yá lè mǎ","acantilado frenar caballo","detenerse ante el peligro","Más vale prevenir que lamentar","Prudencia y Prevencion","HSK 8","Metafora espacial concepto de precaucion","他及时悬崖勒马，避免了更大的损失。"
"Dia 13","打草惊蛇","dǎ cǎo jīng shé","golpear hierba asustar serpiente","alertar accidentalmente al enemigo","Se le fue el pajarito","Estrategia y Cuidado","HSK 8","Metafora militar concepto de discrecion","我们的计划要保密，别打草惊蛇。"
"Dia 14","火上加油","huǒ shàng jiā yóu","sobre el fuego agregar aceite","empeorar una situacion","Echar leña al fuego","Empeoramiento de Conflictos","HSK 7","Metafora del fuego equivalente directo en español","他本来就很生气，你这样说话是火上加油。"
"Dia 15","对牛弹琴","duì niú tán qín","frente al toro tocar instrumento","hablar a quien no puede entender o apreciar","La miel no se hizo para la boca del burro","Comunicacion Inutil","HSK 7","Metafora animal critica social sutil","跟他讲这些道理简直是对牛弹琴。"
"Dia 16","入乡随俗","rù xiāng suí sú","entrar pueblo seguir costumbres","adaptarse a las costumbres locales","Donde fueres, haz lo que vieres","Adaptacion Cultural","HSK 7","Concepto de adaptacion equivalente universal","到了外国要入乡随俗，尊重当地的文化。"
"Dia 17","心神不宁","xīn shén bù níng","corazon espiritu no tranquilo","inquietud mental","Estar como un queso","Estados Emocionales","HSK 7","Descripcion psicologica estado interno","考试前她心神不宁，无法集中注意力。"
"Dia 18","画蛇添足","huà shé tiān zú","dibujar serpiente añadir pies","hacer algo innecesario que arruina el resultado","Es bueno el cilantro, pero no tanto","Exceso y Moderacion","HSK 7","Metafora animal concepto de moderacion","这篇文章已经很完美了，再加内容就是画蛇添足。"
"Dia 19","鱼目混珠","yú mù hùn zhū","ojo pez mezclar perla","falsificar lo genuino","No es oro todo lo que reluce","Falsificacion y Engano","HSK 8","Metafora de materiales concepto de autenticidad","市场上有很多假货鱼目混珠，要小心选择。"
"Dia 20","塞翁失马","sài wēng shī mǎ","el anciano de la frontera perdio el caballo","una desgracia puede convertirse en fortuna","No hay mal que por bien no venga","Filosofia de Vida","HSK 7","Historia clasica filosofia taoista equivalente perfecto en español","虽然丢了工作，但塞翁失马，也许能找到更好的机会。"
"Dia 21","上善若水","shàng shàn ruò shuǐ","suprema bondad como agua","la mayor virtud es como el agua","El agua mansa es la que se lleva los puentes","Virtud y Humildad","HSK 9","Filosofia taoista concepto de suavidad poderosa","老子说""上善若水""，最高的善像水一样。"
"Dia 22","相濡以沫","xiāng rú yǐ mò","mutuamente humedecer con saliva","ayudarse mutuamente en dificultades","En las malas se conoce a los amigos","Mutua Ayuda","HSK 8","Metafora de supervivencia concepto de solidaridad","这对老夫妇几十年来相濡以沫，共度难关。"
"Dia 23","班门弄斧","bān mén nòng fǔ","ante la puerta de Ban mostrar el hacha","mostrar habilidad ante un experto","Cachicamo diciéndole a morrocoy conchudo","Humildad y Presuncion","HSK 8","Referencia historica Lu Ban critica de arrogancia","在专家面前展示技术，这不是班门弄斧吗？"
"Dia 24","称兄道弟","chēng xiōng dào dì","llamar hermano mayor hermano menor","Los amigos se llaman hermanos para demostrar su estrecha relación","Dicen que los amigos son los hermanos que se eligen, pero los hermanos son amigos que se quieren.","Relacion cercana con un amigo que es como un hermano","HSK 8","Terminologia familiar critica de hipocresia","他们刚认识就称兄道弟，关系发展得很快。"
"Dia 25","不翼而飞","bù yì ér fēi","sin alas pero volar","desaparecer misteriosamente","Se fue como el humo","Desaparicion Misteriosa","HSK 7","Metafora de vuelo concepto de perdida inexplicable","我放在桌上的钱不翼而飞了。"
"Dia 26","顺其自然","shùn qí zì rán","seguir su naturalidad","dejar que las cosas sigan su curso","Dejar que el río corra por donde debe","Aceptacion Natural","HSK 7","Filosofia de no interferencia","既然努力了，结果就顺其自然吧。"
"Dia 27","狐假虎威","hú jiǎ hǔ wēi","zorro aprovecha poder tigre","aprovecharse del poder de otro","Al que buen arbol se asoma ,buena sobra le cobija","Abuso de Autoridad","HSK 7","Fabula animal critica social","他总是狐假虎威，借着老板的权威欺负同事。"
"Dia 28","死而无悔","sǐ ér wú huǐ","morir sin arrepentimiento","no lamentarse de las decisiones","Primero muerto que rendido","Determinacion Final","HSK 9","Concepto de integridad moral","为了正义的事业，他死而无悔。"
"Dia 29","一日三秋","yī rì sān qiū","un dia tres otoños","el tiempo pasa lento cuando se extraña","El tiempo se mueve despacio cuando se extraña a alguien","Percepcion Temporal","HSK 8","Metafora estacional concepto de añoranza","分别的日子里，我对她一日三秋的思念。"
"Dia 30","千钧一发","qiān jūn yī fà","mil jin un cabello","situacion extremadamente peligrosa","Entre la espada y la pared","Peligro Extremo","HSK 7","Metafora de peso concepto de fragilidad","在千钧一发的时刻，消防员救出了被困的人。"
"Dia 31","言为心声","yán wéi xīn shēng","palabras son voz del corazon","las palabras reflejan los pensamientos","Por la boca muere el pez","Autenticidad de Expresion","HSK 8","Concepto de sinceridad comunicativa","他的话言为心声，表达了内心的真实想法。"
"Dia 32","雪中送炭","xuě zhōng sòng tàn","en nieve enviar carbon","ayudar en momentos dificiles","Amigo en la necesidad, amigo de verdad","Ayuda en Crisis","HSK 7","Metafora climatica concepto de generosidad oportuna","在我最困难的时候，朋友的帮助真是雪中送炭。"
"Dia 33","一蹴而就","yī cù ér jiù","un paso y lograr","lograr algo de inmediato","Dicho y hecho","Exito Instantaneo","HSK 7","Estructura de accion concepto de facilidad","学好中文不可能一蹴而就，需要长期努力。"
"Dia 34","知行合一","zhī xíng hé yī","conocimiento accion unir uno","unidad entre conocimiento y accion","El que predica debe dar el ejemplo","Integracion Teorica-Practica","HSK 8","Filosofia confuciana concepto de coherencia","真正的智慧在于知行合一。"
"Dia 35","愚公移山","yú gōng yí shān","el anciano Yu mueve montañas","perseverancia ante obstaculos imposibles","Querer es poder","Perseverancia Heroica","HSK 7","Leyenda clasica concepto de determinacion","凭着愚公移山的精神，我们一定能成功。"
"Dia 36","如虎添翼","rú hǔ tiān yì","como tigre añadir alas","volverse aun mas poderoso","Como caimán en pozo","Aumento de Poder","HSK 7","Metafora animal concepto de potenciacion","有了新设备，工作效率如虎添翼。"
"Dia 37","依依不舍","yī yī bù shě","apegado no querer separarse","reluctancia a separarse","Pegado como chicle","Apego Emocional","HSK 8","Expresion emocional concepto de despedida","毕业时，同学们依依不舍地告别。"
"Dia 38","一切就绪","yī qiè jiù xù","todo preparado","todo listo","Todo listo como para el combate","Preparacion Completa","HSK 8","Concepto de organizacion total","会议准备工作一切就绪，可以开始了。"
"Dia 39","一门心思","yī mén xīn sī","una puerta pensamiento","concentrarse en una sola cosa","Como perro con hueso","Concentracion Total","HSK 8","Metafora arquitectonica concepto de enfoque","他一门心思想着赚钱，什么都不管。"
"Dia 40","死里逃生","sǐ lǐ táo shēng","de muerte escapar vida","escapar de la muerte","Se salvo por un pelo","Supervivencia Extrema","HSK 8","Concepto de resurrection escape milagroso","在那次事故中，他死里逃生，非常幸运。"
"Dia 41","废寝忘食","fèi qǐn wàng shí","abandonar dormir olvidar comer","dedicacion extrema","El que persevera, vence","Dedicacion Extrema","HSK 7","Concepto de compromiso total con actividad","为了完成这个项目，他废寝忘食地工作。"
"Dia 42","举目无亲","jǔ mù wú qīn","alzar ojos sin parientes","estar solo en tierra extraña","Como pez fuera del agua","Soledad en Exilio","HSK 7","Concepto de aislamiento social geografico","初到异国，他举目无亲，感到很孤独。"
"Dia 43","不三不四","bù sān bù sì","no tres no cuatro","impropio o indecente","Ni chicha ni limonada","Impropiedad Moral","HSK 7","Estructura numerica critica de comportamiento","这个人不三不四，最好别和他来往。"
"Dia 44","一五一十","yī wǔ yī shí","uno cinco uno diez","contar todo detalladamente","Sin dejar cabo suelto","Relato Completo","HSK 7","Estructura numerica concepto de exhaustividad","请你一五一十地把事情经过告诉我。"
"Dia 45","藏龙卧虎","cáng lóng wò hǔ","oculto dragon acostado tigre","talentos ocultos","Aguas quietas, corrientes profundas","Talento Oculto","HSK 8","Metafora mitologica concepto de potencial","这个公司藏龙卧虎，有很多优秀人才。"
"Dia 46","长话短说","cháng huà duǎn shuō","larga charla corta decir","resumir una historia larga parecido al long story short en ingles","Para no hacer el cuento largo","Concision Narrativa","HSK 7","Concepto de eficiencia comunicativa","时间不多，我就长话短说吧。"
"Dia 47","说来话长","shuō lái huà cháng","decir venir palabra larga","es una larga historia","Es una novela","Complejidad Narrativa","HSK 7","Concepto de elaboracion necesaria","这件事说来话长，我慢慢告诉你。"
"Dia 48","潜移默化","qián yí mò huà","gradual cambio silencioso transformacion","influencia sutil","Gota que horada la piedra","Influencia Gradual","HSK 8","Concepto de transformacion imperceptible","父母的行为对孩子产生潜移默化的影响。"
"Dia 49","丢三落四","diū sān là sì","Dejar caer tres, olvidar cuatro","Ser olvidadizo, despistado o descuidado","Tener la cabeza como un colador","Crítica de comportamiento personal","HSK 6 (Oficial)","Concepto de ser olvidadizo ","他总是丢三落四，经常忘记带东西。"
"Dia 50","胡思乱想","hú sī luàn xiǎng","desordenado pensar confuso imaginar","pensar sin sentido","Estar en las nubes","Pensamiento Desordenado","HSK 7","Critica de pensamiento irracional","别胡思乱想了，专心学习吧。"
"","","","","","","","","",""
"","","","","","","","","",""
